Name,Position,Base Salary,Roster Bonus,Signing Bonus,Cap Hit
Jon Feliciano,G,"$2,400,000","$203,125","$750,000","$3,453,125 "
Shaq Lawson,DE,"$1,851,679",0-,"$1,418,907","$3,270,586 "
Steven Hauschka,K,"$2,000,000","$250,000","$1,000,000","$3,250,000 "
Tremaine Edmunds,LB,"$1,055,434",0-,"$1,821,735","$2,877,169 "
Russell Bodine,C,"$1,900,000","$206,244","$500,000","$2,806,244 "
Tre'Davious White,CB,"$1,382,374",0-,"$1,369,747","$2,752,121 "
Kevin Johnson,CB,"$2,000,000","$18,750","$400,000","$2,718,750 "
Andre Roberts,WR,"$2,000,000",0-,"$500,000","$2,600,000 "
Patrick DiMarco,FB,"$1,600,000",0-,"$500,000","$2,150,000 "
Vladimir Ducasse,G,"$2,000,000",0-,"$83,334","$2,083,334 "
Quinton Spain,G,"$1,750,000",0-,"$200,000","$2,050,000 "
Frank Gore,RB,"$1,250,000",0-,"$500,000","$2,000,000 "
LaAdrian Waddle,RT,"$1,000,000","$500,000","$400,000","$2,000,000 "
Zay Jones,WR,"$1,081,348",0-,"$767,696","$1,849,044 "
Rafael Bush,FS,"$1,400,000",0-,"$300,000","$1,800,000 "
E.J. Gaines,CB,"$1,250,000","$187,500","$250,000","$1,787,500 "
Matt Barkley,QB,"$1,250,000","$37,500","$200,000","$1,737,500 "
Julian Stanford,OLB,"$1,250,000",0-,"$175,000","$1,525,000 "
Cody Ford,RT,"$495,000",0-,"$866,675","$1,361,675 "
T.J. Yeldon,RB,"$1,000,000",0-,"$250,000","$1,300,000 "
Dion Dawkins,LT,"$845,294",0-,"$295,589","$1,140,883 "
Maurice Alexander,SS,"$850,000",0-,"$150,000","$1,000,000 "
Reid Ferguson,LS,"$700,000",0-,"$125,000","$850,000 "
Senorise Perry,RB,"$720,000",0-,"$50,000","$810,000 "
Harrison Phillips,DT,"$570,000",0-,"$193,760","$802,760 "
Devin Singletary,RB,"$495,000",0-,"$258,956","$753,956 "
Eli Harold,OLB,"$805,000",0-,"$90,000","$735,000 "
Taron Johnson,CB,"$570,000",0-,"$161,517","$731,517 "
Marcus Murphy,RB,"$720,000",0-,0-,"$720,000 "
Lafayette Pitts,CB,"$720,000",0-,0-,"$720,000 "
Denzel Rice,CB,"$720,000",0-,0-,"$720,000 "
Robert Thomas,DT,"$720,000",0-,0-,"$720,000 "
Matt Milano,OLB,"$645,000",0-,"$65,376","$710,376 "
Jeremiah Sirles,G,"$805,000",0-,0-,"$645,000 "
Victor Bolden,WR,"$645,000",0-,0-,"$645,000 "
Deon Lacey,OLB,"$645,000",0-,0-,"$645,000 "
Dean Marlowe,SS,"$645,000",0-,0-,"$645,000 "
Conor McDermott,T,"$645,000",0-,0-,"$645,000 "
Isaiah McKenzie,WR,"$645,000",0-,0-,"$645,000 "
Kyle Peko,DT,"$645,000",0-,0-,"$645,000 "
Eddie Yarbrough,DE,"$645,000",0-,0-,"$645,000 "
Siran Neal,S,"$570,000",0-,"$71,504","$641,504 "
Wyatt Teller,G,"$570,000",0-,"$63,530","$633,530 "
Ray-Ray McCloud,WR,"$570,000",0-,"$39,956","$609,956 "
Vosean Joseph,LB,"$495,000",0-,"$80,324","$575,324 "
Jason Croom,TE,"$570,000",0-,"$2,000","$572,000 "
Ike Boettger,G,"$570,000",0-,0-,"$570,000 "
Corey Bojorquez,P,"$570,000",0-,0-,"$570,000 "
Robert Foster,WR,"$570,000",0-,0-,"$570,000 "
Ryan Lewis,CB,"$570,000",0-,0-,"$570,000 "
Mike Love,DE,"$570,000",0-,0-,"$570,000 "
Cam Phillips,WR,"$570,000",0-,0-,"$570,000 "
Da'Mari Scott,WR,"$570,000",0-,0-,"$570,000 "
Corey Thompson,LB,"$570,000",0-,0-,"$570,000 "
Levi Wallace,CB,"$570,000",0-,0-,"$570,000 "
De'Ondre Wesley,G,"$570,000",0-,0-,"$570,000 "
Jaquan Johnson,S,"$495,000",0-,"$45,909","$540,909 "
Darryl Johnson,OLB,"$495,000",0-,"$24,522","$519,522 "
Tommy Sweeney,TE,"$495,000",0-,"$24,046","$519,046 "
David Sills,WR,"$495,000",0-,"$11,667","$506,666 "
Tyree Jackson,QB,"$495,000",0-,"$5,000","$500,000 "
Nick Easley,WR,"$495,000",0-,"$4,333","$499,333 "
Juwan Foggie,LB,"$495,000",0-,"$2,666","$497,666 "
Cory Carter,P,"$495,000",0-,"$1,000","$496,000 "
Nate Becker,TE,"$495,000",0-,0-,"$495,000 "
